分类,检索词
地域限制,"只要来广州,不用一个月,不用一个星期,也不用一天,只要2小时全部毕业"
地域限制,"广州欢迎您"
地域限制,"小地方玩的人少鼓也少有的妖也没有"
地域限制,"国外现在可以玩么…地区未开发"
地域限制,"冷门城市玩家如同鬼蜮,不飞去热门城市怎么玩?"
地域限制,"一起来广州"
资源不均,"从来没抓过一只全满"
资源不均,"抓的都是垃圾"
资源不均,"高姿获得的概率不公布"
资源不均,"天天200不截图给这是闹哪样"
资源不均,"玩好久都没有满资"
资源不均,"抓这么久没出满的"
资源不均,"妖怪越来越难抓"
资源不均,"资源不够用"
资源不均,"抓高资质的都是那些人"
现实限制,"打工一族没双休这一点"
现实限制,"活动都设置在上班时间"
现实限制,"现在天气这么冷,外出敲鼓抓妖实在太难了"
现实限制,"我周六周天还上班"
现实限制,"离我家很远,不如又没法抓"
现实限制,"每天好几个小时的投入"
治理失效,"外挂满天飞官方不作为"
治理失效,"多次举报官方也不管"
治理失效,"非法游戏行为被禁止使用"
治理失效,"不知道为什么被认定非法行为"
治理失效,"封玩家的惩罚机制等于劝退玩家"
治理失效,"乱封号"
治理失效,"客服回答我具体检测判罚数据无法直接提供给玩家"
治理失效,"花钱了还这么冤枉"
治理失效,"如果想圈钱最起码让我门觉得花钱有价值"
治理失效,"骗氪游戏"
收益贬值,"一次嘉年华2小时顶平时4个月收益"
收益贬值,"半年不及别人半天收获"
收益贬值,"两个小时130块,比过了我们4个月"
收益贬值,"顶我半月抓充钱全喂狗"
收益贬值,"一次线下嘉年华…超过数倍"
游戏投入,"每天300+的捉妖数"
游戏投入,"花费了大量的金钱精力时间"
游戏投入,"每天好几个小时的投入"
游戏投入,"玩那么久从来没抓过一只全满"
游戏投入,"我玩那么久"
游戏投入,"不花钱玩游戏就不好玩"
游戏投入,"平民玩家不肝什么好东西都没有"
玩法特征,"摆摊浪费生命"
玩法特征,"每天打擂台"
玩法特征,"找星移一次限定的伙伴"
玩法特征,"抓妖"
玩法特征,"御灵团战找不到人"
玩法特征,"敲鼓抓妖"
玩法特征,"灵石"
玩法特征,"擂台"
不公平感,"半年不及别人半天收获"
不公平感,"只要来广州…全部毕业"
不公平感,"抓高资质的都是那些人"
不公平感,"花钱了还这么冤枉"
不公平感,"外挂毁了这个游戏"
不公平感,"被线下活动恶心到了"
不公平感,"没有飞机玩起来太难了"
不公平感,"辛辛苦苦的玩了这么久还没一次嘉年华来的快"
不公平感,"顶我半月抓充钱全喂狗"
不公平感,"不花钱玩游戏就不好玩"
不公平感,"乱封号"
不公平感,"概率太低"
